"element","ion","bins","null_n","status","n_unique_lines","k_best","deltaD","scan_null_p","tail_count_ge","n_obs","out_dir"
"Ni","2","120","5000","ok","170","28.2725090036014","25.1054218565421","0.000399920015996801","1","10.0617911538576",".\outputs_r\batch_neighbors\ni_ion2_120_full_bin120"
"Ni","2","160","5000","ok","170","28.3997599039616","24.149190957751","0.000599880023995201","2","10.1283113294346",".\outputs_r\batch_neighbors\ni_ion2_160_full"
"Ni","2","200","5000","ok","170","28.3679471788715","20.7995400400422","0.0017996400719856","8","10.1296915829124",".\outputs_r\batch_neighbors\ni_ion2_200_full_bin200"
"Co","2","120","5000","ok","2450","30.2448979591837","355.007331445979","0.0001999600079984","0","10.9501208596341",".\outputs_r\batch_neighbors\co_ion2_120_full_bin120"
"Co","2","160","5000","ok","2450","30.2448979591837","327.153172835048","0.0001999600079984","0","10.9731253152215",".\outputs_r\batch_neighbors\co_ion2_160_full"
"Co","2","200","5000","ok","2450","30.2130852340936","273.243064315258","0.0001999600079984","0","10.9753715230784",".\outputs_r\batch_neighbors\co_ion2_200_full_bin200"
"Cr","2","120","5000","ok","3898","19.1104441776711","335.116705824102","0.0001999600079984","0","6.93556296502723",".\outputs_r\batch_neighbors\cr_ion2_120_full_bin120"
"Cr","2","160","5000","ok","3898","19.1740696278511","228.486019036192","0.0001999600079984","0","6.97327293611498",".\outputs_r\batch_neighbors\cr_ion2_160_full"
"Cr","2","200","5000","ok","3898","23.7869147659064","139.993477097121","0.0001999600079984","0","8.66176544863493",".\outputs_r\batch_neighbors\cr_ion2_200_full_bin200"
"Mn","2","120","5000","ok","2584","14.9429771908764","164.195037793171","0.0001999600079984","0","5.37279104347652",".\outputs_r\batch_neighbors\mn_ion2_120_full_bin120"
"Mn","2","160","5000","ok","2584","15.1338535414166","89.4593944441067","0.0001999600079984","0","5.45285274930049",".\outputs_r\batch_neighbors\mn_ion2_160_full"
"Mn","2","200","5000","ok","2584","23.6278511404562","58.2381352467746","0.0001999600079984","0","8.52401898672507",".\outputs_r\batch_neighbors\mn_ion2_200_full_bin200"
"Ti","2","120","5000","ok","1578","15.9927971188475","46.7594984057057","0.0001999600079984","0","5.67499112373983",".\outputs_r\batch_neighbors\ti_ion2_120_full_bin120"
"Ti","2","160","5000","ok","1578","66.2569027611044","46.9882628355725","0.0001999600079984","0","23.5604355905867",".\outputs_r\batch_neighbors\ti_ion2_160_full"
"Ti","2","200","5000","ok","1578","66.2250900360144","44.8162940351216","0.0001999600079984","0","23.5787447734135",".\outputs_r\batch_neighbors\ti_ion2_200_full_bin200"
