"freq_name","k_injected","amplitude","n_sims","detection_prob","det_ci_lo","det_ci_hi","correct_region_prob","sig_correct_prob","sigcor_ci_lo","sigcor_ci_hi","false_localisation_prob","median_recovered_k","freq_bias","amplitude_bias","alpha","null_n"
"fe_reference",31.3265306122449,0,8,0,0,0.369416647552819,0,0,0,0.369416647552819,0,52.2752100840336,20.9486794717887,0.0436049366503891,0.05,25
"lower_control",12,0,8,0,0,0.369416647552819,0,0,0,0.369416647552819,0,27.6680672268908,15.6680672268908,0.043829520486473,0.05,25
"higher_control",55,0,8,0,0,0.369416647552819,0.125,0,0,0.369416647552819,0,45.1650660264106,-9.83493397358944,0.0404788629380577,0.05,25
"off_grid",31.7337755102041,0,8,0,0,0.369416647552819,0.125,0,0,0.369416647552819,0,32.7740096038415,1.04023409363746,0.0368152947303226,0.05,25
"fe_reference",31.3265306122449,0.03,8,0.125,0.00315972353125191,0.526509670875207,0,0,0,0.369416647552819,0.125,36.5438175270108,5.2172869147659,0.015117831425137,0.05,25
"lower_control",12,0.03,8,0.125,0.00315972353125191,0.526509670875207,0.125,0,0,0.369416647552819,0.125,29.1155462184874,17.1155462184874,0.0221649903866946,0.05,25
"higher_control",55,0.03,8,0.125,0.00315972353125191,0.526509670875207,0.125,0,0,0.369416647552819,0.125,42.6836734693878,-12.3163265306122,0.016557197981419,0.05,25
"off_grid",31.7337755102041,0.03,8,0.5,0.157012770487058,0.842987229512942,0.375,0.25,0.0318540262499442,0.650855794412824,0.25,32.2490996398559,0.515324129651862,0.0253871695052827,0.05,25
"fe_reference",31.3265306122449,0.05,8,0.375,0.0852334141372536,0.755136783633448,0.625,0.375,0.0852334141372536,0.755136783633448,0,31.1674669867947,-0.159063625450184,0.00301977708662526,0.05,25
"lower_control",12,0.05,8,0.5,0.157012770487058,0.842987229512942,0.125,0.125,0.00315972353125191,0.526509670875207,0.375,12.2866146458583,0.286614645858343,0.00820057325814869,0.05,25
"higher_control",55,0.05,8,0.5,0.157012770487058,0.842987229512942,0.875,0.5,0.157012770487058,0.842987229512942,0,55.0747298919568,0.0747298919567783,0.00381707788314227,0.05,25
"off_grid",31.7337755102041,0.05,8,0.5,0.157012770487058,0.842987229512942,1,0.5,0.157012770487058,0.842987229512942,0,31.9627851140456,0.229009603841536,0.00781105933072553,0.05,25
"fe_reference",31.3265306122449,0.1,8,1,0.630583352447181,1,1,1,0.630583352447181,1,0,31.1992797118848,-0.127250900360146,-0.00247420313202751,0.05,25
"lower_control",12,0.1,8,1,0.630583352447181,1,0.625,0.625,0.244863216366552,0.914766585862746,0.375,12.0639255702281,0.0639255702280899,-0.00437200529793286,0.05,25
"higher_control",55,0.1,8,1,0.630583352447181,1,1,1,0.630583352447181,1,0,54.9474789915966,-0.0525210084033603,0.00050375557064572,0.05,25
"off_grid",31.7337755102041,0.1,8,1,0.630583352447181,1,1,1,0.630583352447181,1,0,31.8196278511405,0.0858523409363734,0.0104140043824759,0.05,25
